label,text,_orig_split,split,aug_type
0,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",train,train,clean
0,Tell them the drug dealer's getting impatient,train,train,clean
0,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",train,train,clean
0,"Lol you forgot it eh ? Yes, I'll bring it in babe",train,train,clean
0,Me n him so funny...,train,train,clean
0,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,train,train,clean
0,Ok,train,train,clean
0,"life alle mone,eppolum oru pole allalo",train,train,clean
0,O. Guess they both got screwd,train,train,clean
0,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,train,train,clean
0,U can call now...,train,train,clean
0,As in different styles?,train,train,clean
0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,train,train,clean
0,And stop being an old man. You get to build snowman snow angels and snowball fights.,train,train,clean
0,I went to project centre,train,train,clean
0,Some are lasting as much as 2 hours. You might get lucky.,train,train,clean
0,Ofcourse I also upload some songs,train,train,clean
0,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,train,train,clean
0,Host-based IDPS for linux systems.,train,train,clean
0,"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",train,train,clean
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,train,train,clean
0,Okay. I've seen it. So i should pick it on friday?,train,train,clean
0,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",train,train,clean
0,There bold 2  &lt;#&gt; . Is that yours,train,train,clean
0,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,train,train,clean
0,Thanx a lot 4 ur help!,train,train,clean
0,"And that's fine, I got enough bud to last most of the night at least",train,train,clean
0,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,train,train,clean
0,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,train,train,clean
0,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",train,train,clean
1,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",train,train,clean
0,Ya just telling abt tht incident..,train,train,clean
0,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,train,train,clean
0,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,train,train,clean
0,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,train,train,clean
0,i dnt wnt to tlk wid u,train,train,clean
0,I need you to be in my strong arms...,train,train,clean
0,Hai priya are you right. What doctor said pa. Where are you.,train,train,clean
0,That sucks. I'll go over so u can do my hair. You'll do it free right?,train,train,clean
0,Huh y lei...,train,train,clean
0,No calls..messages..missed calls,train,train,clean
0,Kinda. First one gets in at twelve! Aah. Speak tomo,train,train,clean
