attack,dataset,model,defense,delta_f1_orig,delta_f1_dedup,delta_f1_change
clean,sms_uci,minilm_lr.joblib,normalize,0.0,0.0,0.0
obfuscate,sms_uci,minilm_lr.joblib,normalize,-0.217391304347826,-0.1528571428571429,0.06453416149068308
paraphrase_like,sms_uci,minilm_lr.joblib,normalize,0.0,0.0,0.0
prompt_injection,sms_uci,minilm_lr.joblib,normalize,0.024887556221889,0.0036945812807881,-0.0211929749411009
clean,sms_uci,minilm_lr.joblib,none,0.0,0.0,0.0
obfuscate,sms_uci,minilm_lr.joblib,none,-0.0546653144016227,-0.0503496503496504,0.004315664051972298
paraphrase_like,sms_uci,minilm_lr.joblib,none,-0.0221466731423021,0.0,0.0221466731423021
prompt_injection,sms_uci,minilm_lr.joblib,none,-0.0438294010889291,-0.0323206205559146,0.011508780533014497
clean,sms_uci,tfidf_char_svm.joblib,normalize,0.0,0.0,0.0
obfuscate,sms_uci,tfidf_char_svm.joblib,normalize,-0.0555731978405843,-0.0915504511894995,-0.0359772533489152
paraphrase_like,sms_uci,tfidf_char_svm.joblib,normalize,-0.0310607237148625,-0.0094584286803967,0.0216022950344658
prompt_injection,sms_uci,tfidf_char_svm.joblib,normalize,0.0221631205673759,0.0362440628425283,0.014080942275152396
clean,sms_uci,tfidf_char_svm.joblib,none,0.0,0.0,0.0
obfuscate,sms_uci,tfidf_char_svm.joblib,none,-0.0289407678950415,-0.0256233640997382,0.003317403795303299
paraphrase_like,sms_uci,tfidf_char_svm.joblib,none,-0.007085498346717,0.0,0.007085498346717
prompt_injection,sms_uci,tfidf_char_svm.joblib,none,0.0069890970086664,0.0,-0.0069890970086664
clean,sms_uci,tfidf_word_lr.joblib,normalize,0.0,0.0,0.0
obfuscate,sms_uci,tfidf_word_lr.joblib,normalize,-0.101688647849131,-0.127691443549897,-0.02600279570076601
paraphrase_like,sms_uci,tfidf_word_lr.joblib,normalize,-0.0532828133325439,-0.0321966418556344,0.0210861714769095
prompt_injection,sms_uci,tfidf_word_lr.joblib,normalize,-0.0172186190667508,-0.0780715956107214,-0.060852976543970594
clean,sms_uci,tfidf_word_lr.joblib,none,0.0,0.0,0.0
obfuscate,sms_uci,tfidf_word_lr.joblib,none,-0.1113394998287085,-0.0851648351648352,0.026174664663873304
paraphrase_like,sms_uci,tfidf_word_lr.joblib,none,-0.0486828582246985,-0.0304718217562254,0.018211036468473097
prompt_injection,sms_uci,tfidf_word_lr.joblib,none,-0.0157538203014231,-0.0738095238095238,-0.0580557035081007
clean,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.0,0.0,0.0
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.0171956385860129,0.0402373906862177,0.023041752100204798
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,normalize,-0.0015557574381103,0.0,0.0015557574381103
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.0086721603019236,0.0484200446856048,0.039747884383681195
clean,spamassassin,spamassassin_minilm_lr.joblib,none,0.0,0.0,0.0
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,none,0.0280381061528544,0.0552036199095022,0.0271655137566478
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,none,-0.0022601331572426,-0.0061182061182061,-0.0038580729609634995
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,none,0.0055293605256679,0.0760829614071934,0.0705536008815255
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.0,0.0,0.0
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.001147170503952,-0.0058055152394774,-0.006952685743429401
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.0,0.0,0.0
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,-0.0294590966074619,0.0381186765108012,0.0675777731182631
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0,0.0,0.0
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,none,-0.0125057676980942,-0.0030217943575344,0.009483973340559799
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.000155296727676,0.0,-0.000155296727676
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,none,-0.0153438572486352,0.0259625907244115,0.0413064479730467
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.0,0.0,0.0
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,-0.0078248443001406,-0.0891308731599113,-0.0813060288597707
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,-0.002653399668325,0.0,0.002653399668325
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,-0.0124475009482359,-0.006345785440613,0.0061017155076229
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.0,0.0,0.0
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,none,-0.0241648534493792,-0.0740196385014697,-0.0498547850520905
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,none,-0.0029500081944671,0.0,0.0029500081944671
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,none,-0.0092698656900698,-0.0160509589886773,-0.0067810932986075
