train_dataset,test_dataset,model_type,training_mode,attack,f1,precision,recall
sms,sms,tfidf_word_lr,clean,clean,0.8928571428571429,1.0,0.8064516129032258
sms,sms,tfidf_word_lr,clean,obfuscate,0.7647058823529411,0.975,0.6290322580645161
sms,sms,tfidf_word_lr,clean,paraphrase_like,0.8623853211009175,1.0,0.7580645161290323
sms,sms,tfidf_word_lr,clean,prompt_injection,0.819047619047619,1.0,0.6935483870967742
sms,sms,tfidf_word_lr,eat,clean,0.9401709401709402,1.0,0.8870967741935484
sms,sms,tfidf_word_lr,eat,obfuscate,0.875,0.98,0.7903225806451613
sms,sms,tfidf_word_lr,eat,paraphrase_like,0.9026548672566371,1.0,0.8225806451612904
sms,sms,tfidf_word_lr,eat,prompt_injection,0.3177083333333333,0.18944099378881987,0.9838709677419355
sms,sms,tfidf_char_svm,clean,clean,0.9836065573770492,1.0,0.967741935483871
sms,sms,tfidf_char_svm,clean,obfuscate,0.9401709401709402,1.0,0.8870967741935484
sms,sms,tfidf_char_svm,clean,paraphrase_like,0.9836065573770492,1.0,0.967741935483871
sms,sms,tfidf_char_svm,clean,prompt_injection,0.9836065573770492,1.0,0.967741935483871
sms,sms,tfidf_char_svm,eat,clean,0.9836065573770492,1.0,0.967741935483871
sms,sms,tfidf_char_svm,eat,obfuscate,0.9752066115702479,1.0,0.9516129032258065
sms,sms,tfidf_char_svm,eat,paraphrase_like,0.9836065573770492,1.0,0.967741935483871
sms,sms,tfidf_char_svm,eat,prompt_injection,0.5422222222222223,0.37423312883435583,0.9838709677419355
sms,spamassassin,tfidf_word_lr,clean,clean,0.08917197452229299,0.5384615384615384,0.04861111111111111
sms,spamassassin,tfidf_word_lr,clean,obfuscate,0.06493506493506493,0.5,0.034722222222222224
sms,spamassassin,tfidf_word_lr,clean,paraphrase_like,0.06451612903225806,0.45454545454545453,0.034722222222222224
sms,spamassassin,tfidf_word_lr,clean,prompt_injection,0.07692307692307693,0.5,0.041666666666666664
sms,spamassassin,tfidf_word_lr,eat,clean,0.2430939226519337,0.5945945945945946,0.1527777777777778
sms,spamassassin,tfidf_word_lr,eat,obfuscate,0.25274725274725274,0.6052631578947368,0.1597222222222222
sms,spamassassin,tfidf_word_lr,eat,paraphrase_like,0.21348314606741572,0.5588235294117647,0.13194444444444445
sms,spamassassin,tfidf_word_lr,eat,prompt_injection,0.41841004184100417,0.5263157894736842,0.3472222222222222
sms,spamassassin,tfidf_char_svm,clean,clean,0.4496124031007752,0.5087719298245614,0.4027777777777778
sms,spamassassin,tfidf_char_svm,clean,obfuscate,0.4274193548387097,0.5096153846153846,0.3680555555555556
sms,spamassassin,tfidf_char_svm,clean,paraphrase_like,0.4470588235294118,0.5135135135135135,0.3958333333333333
sms,spamassassin,tfidf_char_svm,clean,prompt_injection,0.4788732394366197,0.4857142857142857,0.4722222222222222
sms,spamassassin,tfidf_char_svm,eat,clean,0.4274193548387097,0.5096153846153846,0.3680555555555556
sms,spamassassin,tfidf_char_svm,eat,obfuscate,0.488135593220339,0.4768211920529801,0.5
sms,spamassassin,tfidf_char_svm,eat,paraphrase_like,0.4291497975708502,0.5145631067961165,0.3680555555555556
sms,spamassassin,tfidf_char_svm,eat,prompt_injection,0.4896551724137931,0.4863013698630137,0.4930555555555556
spamassassin,sms,tfidf_word_lr,clean,clean,0.3041825095057034,0.19900497512437812,0.6451612903225806
spamassassin,sms,tfidf_word_lr,clean,obfuscate,0.26337448559670784,0.17679558011049723,0.5161290322580645
spamassassin,sms,tfidf_word_lr,clean,paraphrase_like,0.23387096774193547,0.15591397849462366,0.46774193548387094
spamassassin,sms,tfidf_word_lr,clean,prompt_injection,0.3431952662721893,0.27102803738317754,0.46774193548387094
spamassassin,sms,tfidf_word_lr,eat,clean,0.21565217391304348,0.12085769980506822,1.0
spamassassin,sms,tfidf_word_lr,eat,obfuscate,0.21565217391304348,0.12085769980506822,1.0
spamassassin,sms,tfidf_word_lr,eat,paraphrase_like,0.21565217391304348,0.12085769980506822,1.0
spamassassin,sms,tfidf_word_lr,eat,prompt_injection,0.21565217391304348,0.12085769980506822,1.0
spamassassin,sms,tfidf_char_svm,clean,clean,0.24203821656050956,0.15079365079365079,0.6129032258064516
spamassassin,sms,tfidf_char_svm,clean,obfuscate,0.2364217252396166,0.14741035856573706,0.5967741935483871
spamassassin,sms,tfidf_char_svm,clean,paraphrase_like,0.22508038585209003,0.14056224899598393,0.5645161290322581
spamassassin,sms,tfidf_char_svm,clean,prompt_injection,0.1925601750547046,0.11139240506329114,0.7096774193548387
spamassassin,sms,tfidf_char_svm,eat,clean,0.22179732313575526,0.12581344902386118,0.9354838709677419
spamassassin,sms,tfidf_char_svm,eat,obfuscate,0.21352313167259787,0.12,0.967741935483871
spamassassin,sms,tfidf_char_svm,eat,paraphrase_like,0.21497120921305182,0.12200435729847495,0.9032258064516129
spamassassin,sms,tfidf_char_svm,eat,prompt_injection,0.21565217391304348,0.12085769980506822,1.0
spamassassin,spamassassin,tfidf_word_lr,clean,clean,0.47232472324723246,0.5039370078740157,0.4444444444444444
spamassassin,spamassassin,tfidf_word_lr,clean,obfuscate,0.371900826446281,0.45918367346938777,0.3125
spamassassin,spamassassin,tfidf_word_lr,clean,paraphrase_like,0.47232472324723246,0.5039370078740157,0.4444444444444444
spamassassin,spamassassin,tfidf_word_lr,clean,prompt_injection,0.45627376425855515,0.5042016806722689,0.4166666666666667
spamassassin,spamassassin,tfidf_word_lr,eat,clean,0.5519287833827893,0.48186528497409326,0.6458333333333334
spamassassin,spamassassin,tfidf_word_lr,eat,obfuscate,0.6620370370370371,0.4965277777777778,0.9930555555555556
spamassassin,spamassassin,tfidf_word_lr,eat,paraphrase_like,0.5476190476190477,0.4791666666666667,0.6388888888888888
spamassassin,spamassassin,tfidf_word_lr,eat,prompt_injection,0.6409638554216868,0.4907749077490775,0.9236111111111112
spamassassin,spamassassin,tfidf_char_svm,clean,clean,0.4548736462093863,0.47368421052631576,0.4375
spamassassin,spamassassin,tfidf_char_svm,clean,obfuscate,0.46886446886446886,0.49612403100775193,0.4444444444444444
spamassassin,spamassassin,tfidf_char_svm,clean,paraphrase_like,0.4548736462093863,0.47368421052631576,0.4375
spamassassin,spamassassin,tfidf_char_svm,clean,prompt_injection,0.4808362369337979,0.4825174825174825,0.4791666666666667
spamassassin,spamassassin,tfidf_char_svm,eat,clean,0.46153846153846156,0.4647887323943662,0.4583333333333333
spamassassin,spamassassin,tfidf_char_svm,eat,obfuscate,0.6426858513189448,0.4908424908424908,0.9305555555555556
spamassassin,spamassassin,tfidf_char_svm,eat,paraphrase_like,0.45614035087719296,0.46099290780141844,0.4513888888888889
spamassassin,spamassassin,tfidf_char_svm,eat,prompt_injection,0.6153846153846154,0.4878048780487805,0.8333333333333334
