scenario,model,training,attack,calibration,threshold,f1,precision,recall
sms→spamassassin,tfidf_word_lr,clean,clean,default,0.5,0.08917197452229299,0.5384615384615384,0.04861111111111111
sms→spamassassin,tfidf_word_lr,clean,clean,calibrated,0.48778325863792005,0.12422360248447205,0.5882352941176471,0.06944444444444445
sms→spamassassin,tfidf_word_lr,clean,obfuscate,default,0.5,0.06493506493506493,0.5,0.034722222222222224
sms→spamassassin,tfidf_word_lr,clean,obfuscate,calibrated,0.1309968734349352,0.4983388704318937,0.47770700636942676,0.5208333333333334
sms→spamassassin,tfidf_word_lr,eat,clean,default,0.5,0.2430939226519337,0.5945945945945946,0.1527777777777778
sms→spamassassin,tfidf_word_lr,eat,clean,calibrated,0.6767071257771429,0.02666666666666667,0.3333333333333333,0.013888888888888888
sms→spamassassin,tfidf_word_lr,eat,obfuscate,default,0.5,0.25274725274725274,0.6052631578947368,0.1597222222222222
sms→spamassassin,tfidf_word_lr,eat,obfuscate,calibrated,0.5436214130823747,0.14285714285714285,0.5,0.08333333333333333
sms→spamassassin,tfidf_char_svm,clean,clean,default,0.5,0.4496124031007752,0.5087719298245614,0.4027777777777778
sms→spamassassin,tfidf_char_svm,clean,clean,calibrated,0.5692527922205554,0.27722772277227725,0.4827586206896552,0.19444444444444445
sms→spamassassin,tfidf_char_svm,clean,obfuscate,default,0.5,0.4274193548387097,0.5096153846153846,0.3680555555555556
sms→spamassassin,tfidf_char_svm,clean,obfuscate,calibrated,0.5332324878699183,0.3225806451612903,0.4794520547945205,0.24305555555555555
sms→spamassassin,tfidf_char_svm,eat,clean,default,0.5,0.4274193548387097,0.5096153846153846,0.3680555555555556
sms→spamassassin,tfidf_char_svm,eat,clean,calibrated,0.5127446556092979,0.4050632911392405,0.5161290322580645,0.3333333333333333
sms→spamassassin,tfidf_char_svm,eat,obfuscate,default,0.5,0.488135593220339,0.4768211920529801,0.5
sms→spamassassin,tfidf_char_svm,eat,obfuscate,calibrated,0.5715383573384845,0.37168141592920356,0.5121951219512195,0.2916666666666667
spamassassin→sms,tfidf_word_lr,clean,clean,default,0.5,0.3041825095057034,0.19900497512437812,0.6451612903225806
spamassassin→sms,tfidf_word_lr,clean,clean,calibrated,0.49849598487484786,0.29927007299270075,0.19339622641509435,0.6612903225806451
spamassassin→sms,tfidf_word_lr,clean,obfuscate,default,0.5,0.26337448559670784,0.17679558011049723,0.5161290322580645
spamassassin→sms,tfidf_word_lr,clean,obfuscate,calibrated,0.5062249340563992,0.27488151658767773,0.19463087248322147,0.46774193548387094
spamassassin→sms,tfidf_word_lr,eat,clean,default,0.5,0.21565217391304348,0.12085769980506822,1.0
spamassassin→sms,tfidf_word_lr,eat,clean,calibrated,0.7221465620281159,0.22435897435897437,0.14,0.5645161290322581
spamassassin→sms,tfidf_word_lr,eat,obfuscate,default,0.5,0.21565217391304348,0.12085769980506822,1.0
spamassassin→sms,tfidf_word_lr,eat,obfuscate,calibrated,0.7721680148984519,0.24242424242424243,0.15319148936170213,0.5806451612903226
spamassassin→sms,tfidf_char_svm,clean,clean,default,0.5,0.24203821656050956,0.15079365079365079,0.6129032258064516
spamassassin→sms,tfidf_char_svm,clean,clean,calibrated,0.4994058340020095,0.24126984126984127,0.15019762845849802,0.6129032258064516
spamassassin→sms,tfidf_char_svm,clean,obfuscate,default,0.5,0.2364217252396166,0.14741035856573706,0.5967741935483871
spamassassin→sms,tfidf_char_svm,clean,obfuscate,calibrated,0.4796442495671326,0.2344139650872818,0.13864306784660768,0.7580645161290323
spamassassin→sms,tfidf_char_svm,eat,clean,default,0.5,0.22179732313575526,0.12581344902386118,0.9354838709677419
spamassassin→sms,tfidf_char_svm,eat,clean,calibrated,0.5249631814976906,0.22417582417582418,0.1297709923664122,0.8225806451612904
spamassassin→sms,tfidf_char_svm,eat,obfuscate,default,0.5,0.21352313167259787,0.12,0.967741935483871
spamassassin→sms,tfidf_char_svm,eat,obfuscate,calibrated,0.5818182882122257,0.23306233062330622,0.14006514657980457,0.6935483870967742
