scenario,model,attack,f1_clean_train,f1_eat_train,gain
sms→spamassassin,tfidf_char_svm,clean,0.4496124031007752,0.4274193548387097,-0.02219304826206553
sms→spamassassin,tfidf_char_svm,obfuscate,0.4274193548387097,0.488135593220339,0.06071623838162932
sms→spamassassin,tfidf_char_svm,paraphrase_like,0.4470588235294118,0.4291497975708502,-0.017909025958561586
sms→spamassassin,tfidf_char_svm,prompt_injection,0.4788732394366197,0.4896551724137931,0.010781932977173392
sms→spamassassin,tfidf_word_lr,clean,0.08917197452229299,0.2430939226519337,0.15392194812964072
sms→spamassassin,tfidf_word_lr,obfuscate,0.06493506493506493,0.25274725274725274,0.1878121878121878
sms→spamassassin,tfidf_word_lr,paraphrase_like,0.06451612903225806,0.21348314606741572,0.14896701703515766
sms→spamassassin,tfidf_word_lr,prompt_injection,0.07692307692307693,0.41841004184100417,0.34148696491792724
sms→telegram,tfidf_char_svm,clean,0.36246786632390743,0.3735705209656925,0.011102654641785059
sms→telegram,tfidf_char_svm,obfuscate,0.31891891891891894,0.42417582417582417,0.10525690525690523
sms→telegram,tfidf_char_svm,paraphrase_like,0.34203655352480417,0.36619718309859156,0.024160629573787396
sms→telegram,tfidf_char_svm,prompt_injection,0.47380410022779046,0.55359565807327,0.07979155784547959
sms→telegram,tfidf_word_lr,clean,0.1945288753799392,0.26705370101596515,0.07252482563602594
sms→telegram,tfidf_word_lr,obfuscate,0.15047021943573669,0.2409288824383164,0.09045866300257971
sms→telegram,tfidf_word_lr,paraphrase_like,0.16408668730650156,0.22916666666666666,0.0650799793601651
sms→telegram,tfidf_word_lr,prompt_injection,0.16485225505443235,0.5033272837265578,0.3384750286721254
spamassassin→sms,tfidf_char_svm,clean,0.24203821656050956,0.22179732313575526,-0.020240893424754297
spamassassin→sms,tfidf_char_svm,obfuscate,0.2364217252396166,0.21352313167259787,-0.022898593567018732
spamassassin→sms,tfidf_char_svm,paraphrase_like,0.22508038585209003,0.21497120921305182,-0.010109176639038209
spamassassin→sms,tfidf_char_svm,prompt_injection,0.1925601750547046,0.21565217391304348,0.023091998858338875
spamassassin→sms,tfidf_word_lr,clean,0.3041825095057034,0.21565217391304348,-0.08853033559265994
spamassassin→sms,tfidf_word_lr,obfuscate,0.26337448559670784,0.21565217391304348,-0.047722311683664365
spamassassin→sms,tfidf_word_lr,paraphrase_like,0.23387096774193547,0.21565217391304348,-0.018218793828891994
spamassassin→sms,tfidf_word_lr,prompt_injection,0.3431952662721893,0.21565217391304348,-0.12754309235914585
spamassassin→telegram,tfidf_char_svm,clean,0.4271186440677966,0.4425531914893617,0.015434547421565081
spamassassin→telegram,tfidf_char_svm,obfuscate,0.4205069124423963,0.45184025058731403,0.03133333814491773
spamassassin→telegram,tfidf_char_svm,paraphrase_like,0.42338251986379116,0.4432156529136538,0.019833133049862617
spamassassin→telegram,tfidf_char_svm,prompt_injection,0.4261664261664262,0.4525377760557923,0.026371349889366125
spamassassin→telegram,tfidf_word_lr,clean,0.357679180887372,0.45380116959064326,0.09612198870327127
spamassassin→telegram,tfidf_word_lr,obfuscate,0.3249810174639332,0.4521873790166473,0.1272063615527141
spamassassin→telegram,tfidf_word_lr,paraphrase_like,0.3414295628036086,0.45380116959064326,0.11237160678703467
spamassassin→telegram,tfidf_word_lr,prompt_injection,0.32682926829268294,0.4521873790166473,0.12535811072396436
telegram→sms,tfidf_char_svm,clean,0.991869918699187,0.976,-0.01586991869918697
telegram→sms,tfidf_char_svm,obfuscate,0.9752066115702479,0.96875,-0.0064566115702479054
telegram→sms,tfidf_char_svm,paraphrase_like,0.991869918699187,0.976,-0.01586991869918697
telegram→sms,tfidf_char_svm,prompt_injection,0.991869918699187,0.2857142857142857,-0.7061556329849012
telegram→sms,tfidf_word_lr,clean,0.9421487603305785,0.890625,-0.05152376033057848
telegram→sms,tfidf_word_lr,obfuscate,0.8448275862068966,0.659217877094972,-0.18560970911192454
telegram→sms,tfidf_word_lr,paraphrase_like,0.9333333333333333,0.890625,-0.04270833333333335
telegram→sms,tfidf_word_lr,prompt_injection,0.9310344827586207,0.22142857142857142,-0.7096059113300492
telegram→spamassassin,tfidf_char_svm,clean,0.3283582089552239,0.32673267326732675,-0.0016255356878971394
telegram→spamassassin,tfidf_char_svm,obfuscate,0.30845771144278605,0.5217391304347826,0.21328141899199654
telegram→spamassassin,tfidf_char_svm,paraphrase_like,0.31155778894472363,0.31,-0.001557788944723637
telegram→spamassassin,tfidf_char_svm,prompt_injection,0.32673267326732675,0.4326530612244898,0.10592038795716308
telegram→spamassassin,tfidf_word_lr,clean,0.16091954022988506,0.2631578947368421,0.10223835450695704
telegram→spamassassin,tfidf_word_lr,obfuscate,0.17647058823529413,0.46886446886446886,0.2923938806291747
telegram→spamassassin,tfidf_word_lr,paraphrase_like,0.16184971098265896,0.24468085106382978,0.08283114008117082
telegram→spamassassin,tfidf_word_lr,prompt_injection,0.16091954022988506,0.49645390070921985,0.3355343604793348
