model,training,attack,f1,precision,recall
spamassassin_dedup_tfidf_word_lr,clean,clean,0.47232472324723246,0.5039370078740157,0.4444444444444444
spamassassin_dedup_tfidf_word_lr,clean,obfuscate,0.371900826446281,0.45918367346938777,0.3125
spamassassin_dedup_tfidf_word_lr,clean,prompt_injection,0.45627376425855515,0.5042016806722689,0.4166666666666667
spamassassin_dedup_tfidf_word_lr,clean,paraphrase_like,0.47232472324723246,0.5039370078740157,0.4444444444444444
spamassassin_dedup_tfidf_char_svm,clean,clean,0.4548736462093863,0.47368421052631576,0.4375
spamassassin_dedup_tfidf_char_svm,clean,obfuscate,0.46886446886446886,0.49612403100775193,0.4444444444444444
spamassassin_dedup_tfidf_char_svm,clean,prompt_injection,0.4808362369337979,0.4825174825174825,0.4791666666666667
spamassassin_dedup_tfidf_char_svm,clean,paraphrase_like,0.4548736462093863,0.47368421052631576,0.4375
spamassassin_dedup_tfidf_word_lr,eat,clean,0.5519287833827893,0.48186528497409326,0.6458333333333334
spamassassin_dedup_tfidf_word_lr,eat,obfuscate,0.6620370370370371,0.4965277777777778,0.9930555555555556
spamassassin_dedup_tfidf_word_lr,eat,prompt_injection,0.6409638554216868,0.4907749077490775,0.9236111111111112
spamassassin_dedup_tfidf_word_lr,eat,paraphrase_like,0.5476190476190477,0.4791666666666667,0.6388888888888888
spamassassin_dedup_tfidf_char_svm,eat,clean,0.46153846153846156,0.4647887323943662,0.4583333333333333
spamassassin_dedup_tfidf_char_svm,eat,obfuscate,0.6426858513189448,0.4908424908424908,0.9305555555555556
spamassassin_dedup_tfidf_char_svm,eat,prompt_injection,0.6153846153846154,0.4878048780487805,0.8333333333333334
spamassassin_dedup_tfidf_char_svm,eat,paraphrase_like,0.45614035087719296,0.46099290780141844,0.4513888888888889
