dataset,split,model,seed,f1,precision,recall,roc_auc,notes
sms_uci,test,tfidf_word_lr,,0.920863309352518,1.0,0.8533333333333334,0.9950034506556246,train=sms_uci in-domain
sms_uci,test,tfidf_char_svm,,0.9726027397260274,1.0,0.9466666666666667,0.998592132505176,train=sms_uci in-domain
sms_uci,test,minilm_lr,,0.9517241379310345,0.9857142857142858,0.92,0.9924913733609386,train=sms_uci in-domain
sms_uci,test,tfidf_llm_lr,,0.920863309352518,1.0,0.8533333333333334,0.9948102139406487,train=sms_uci in-domain
spamassassin,test,tfidf_word_lr,,0.11647254575707154,0.11627906976744186,0.11666666666666667,0.04096899224806201,train=spamassassin in-domain
spamassassin,test,tfidf_char_svm,,0.09317803660565724,0.09302325581395349,0.09333333333333334,0.026339977851605755,train=spamassassin in-domain
spamassassin,test,minilm_lr,,0.3163097199341021,0.3127035830618892,0.32,0.24289036544850495,train=spamassassin in-domain
spamassassin,test,tfidf_word_lr,,0.1348314606741573,0.42857142857142855,0.08,0.49344961240310076,train=sms_uci cross-domain
spamassassin,test,tfidf_char_svm,,0.4618181818181818,0.508,0.42333333333333334,0.5173366555924696,train=sms_uci cross-domain
spamassassin,test,minilm_lr,,0.15472779369627507,0.5510204081632653,0.09,0.49910299003322256,train=sms_uci cross-domain
spamassassin,test,tfidf_llm_lr,,0.13031161473087818,0.4339622641509434,0.07666666666666666,0.49358250276854926,train=sms_uci cross-domain
sms_uci,test,tfidf_word_lr,,0.28402366863905326,0.18250950570342206,0.64,0.6225258799171842,train=spamassassin cross-domain
sms_uci,test,tfidf_char_svm,,0.22356495468277945,0.14453125,0.49333333333333335,0.5191166321601105,train=spamassassin cross-domain
sms_uci,test,minilm_lr,,0.1346153846153846,0.08211143695014662,0.37333333333333335,0.3148102139406487,train=spamassassin cross-domain
sms_uci,test,llm_zeroshot,,0.23008849557522124,0.13,1.0,0.5,jsonl
spamassassin,test,llm_zeroshot,,0.04081632653061224,0.3333333333333333,0.021739130434782608,0.49235104669887286,jsonl
