dataset,split,model,seed,f1,precision,recall,roc_auc,notes
sms_uci,train,tfidf_word_lr.joblib,,0.9047619047619048,1.0,0.8260869565217391,0.9985900077873322,
sms_uci,val,tfidf_word_lr.joblib,,0.8702290076335878,1.0,0.7702702702702703,0.986402551619943,
sms_uci,test,tfidf_word_lr.joblib,,0.920863309352518,1.0,0.8533333333333334,0.9950034506556246,
sms_uci,train,tfidf_llm_lr.joblib,,0.8997240110395585,1.0,0.8177257525083612,0.9986956868227771,
sms_uci,val,tfidf_llm_lr.joblib,,0.8702290076335878,1.0,0.7702702702702703,0.9862626601757036,
sms_uci,test,tfidf_llm_lr.joblib,,0.920863309352518,1.0,0.8533333333333334,0.9948102139406487,
sms_uci,train,tfidf_char_svm.joblib,,1.0,1.0,1.0,1.0,
sms_uci,val,tfidf_char_svm.joblib,,0.9722222222222222,1.0,0.9459459459459459,0.9922500139891445,
sms_uci,test,tfidf_char_svm.joblib,,0.9726027397260274,1.0,0.9466666666666667,0.998592132505176,
sms_uci,train,minilm_lr.joblib,,0.948471615720524,0.9926873857404022,0.9080267558528428,0.9956888150868085,
sms_uci,val,minilm_lr.joblib,,0.8951048951048951,0.927536231884058,0.8648648648648649,0.9894801633932069,
sms_uci,test,minilm_lr.joblib,,0.9517241379310345,0.9857142857142858,0.92,0.9924913733609386,
