attack,dataset,model,f1_clean,f1_attacked,delta_f1
clean,sms_uci,minilm_lr.joblib,0.9517241379310345,0.9517241379310345,0.0
obfuscate,sms_uci,minilm_lr.joblib,0.9517241379310345,0.8970588235294118,-0.0546653144016227
paraphrase_like,sms_uci,minilm_lr.joblib,0.9517241379310345,0.9295774647887324,-0.02214667314230212
prompt_injection,sms_uci,minilm_lr.joblib,0.9517241379310345,0.9078947368421053,-0.04382940108892919
clean,sms_uci,spamassassin_minilm_lr.joblib,0.1346153846153846,0.1346153846153846,0.0
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,0.1346153846153846,0.12935323383084577,-0.005262150784538844
paraphrase_like,sms_uci,spamassassin_minilm_lr.joblib,0.1346153846153846,0.13106796116504854,-0.003547423450336068
prompt_injection,sms_uci,spamassassin_minilm_lr.joblib,0.1346153846153846,0.19310344827586207,0.05848806366047746
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,0.22356495468277945,0.22356495468277945,0.0
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,0.22356495468277945,0.20447284345047922,-0.01909211123230023
paraphrase_like,sms_uci,spamassassin_tfidf_char_svm.joblib,0.22356495468277945,0.16720257234726688,-0.05636238233551258
prompt_injection,sms_uci,spamassassin_tfidf_char_svm.joblib,0.22356495468277945,0.18181818181818182,-0.04174677286459763
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,0.28402366863905326,0.28402366863905326,0.0
obfuscate,sms_uci,spamassassin_tfidf_word_lr.joblib,0.28402366863905326,0.26625386996904027,-0.017769798670012993
paraphrase_like,sms_uci,spamassassin_tfidf_word_lr.joblib,0.28402366863905326,0.225,-0.059023668639053256
prompt_injection,sms_uci,spamassassin_tfidf_word_lr.joblib,0.28402366863905326,0.2781954887218045,-0.005828179917248766
clean,sms_uci,tfidf_char_svm.joblib,0.9726027397260274,0.9726027397260274,0.0
obfuscate,sms_uci,tfidf_char_svm.joblib,0.9726027397260274,0.9436619718309859,-0.02894076789504152
paraphrase_like,sms_uci,tfidf_char_svm.joblib,0.9726027397260274,0.9655172413793104,-0.007085498346717012
prompt_injection,sms_uci,tfidf_char_svm.joblib,0.9726027397260274,0.9795918367346939,0.006989097008666456
clean,sms_uci,tfidf_llm_lr.joblib,0.920863309352518,0.920863309352518,0.0
obfuscate,sms_uci,tfidf_llm_lr.joblib,0.920863309352518,0.8095238095238095,-0.1113394998287085
paraphrase_like,sms_uci,tfidf_llm_lr.joblib,0.920863309352518,0.8636363636363636,-0.05722694571615439
prompt_injection,sms_uci,tfidf_llm_lr.joblib,0.920863309352518,0.8970588235294118,-0.023804485823106236
clean,sms_uci,tfidf_word_lr.joblib,0.920863309352518,0.920863309352518,0.0
obfuscate,sms_uci,tfidf_word_lr.joblib,0.920863309352518,0.8095238095238095,-0.1113394998287085
paraphrase_like,sms_uci,tfidf_word_lr.joblib,0.920863309352518,0.8721804511278195,-0.04868285822469853
prompt_injection,sms_uci,tfidf_word_lr.joblib,0.920863309352518,0.9051094890510949,-0.015753820301423138
