attack,dataset,model,defense,f1_clean_mean,f1_clean_std,f1_attacked_mean,f1_attacked_std,delta_f1_mean,delta_f1_std
clean,sms_uci,minilm_lr.joblib,none,0.9517241379310344,0.0,0.9517241379310344,0.0,0.0,0.0
clean,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.0,0.9130434782608695,0.0,0.0,0.0
clean,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.0,0.1346153846153846,0.0,0.0,0.0
clean,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.1102756892230576,0.0,0.1102756892230576,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277943,0.0,0.22356495468277943,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.0,0.2235294117647059,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.2840236686390532,0.0,0.2840236686390532,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.0,0.2789317507418398,0.0,0.0,0.0
clean,sms_uci,tfidf_char_svm.joblib,none,0.9726027397260275,0.0,0.9726027397260275,0.0,0.0,0.0
clean,sms_uci,tfidf_char_svm.joblib,normalize,0.9361702127659577,0.0,0.9361702127659577,0.0,0.0,0.0
clean,sms_uci,tfidf_llm_lr.joblib,none,0.9208633093525179,0.0,0.9208633093525179,0.0,0.0,0.0
clean,sms_uci,tfidf_llm_lr.joblib,normalize,0.8721804511278195,0.0,0.8721804511278195,0.0,0.0,0.0
clean,sms_uci,tfidf_word_lr.joblib,none,0.9208633093525179,0.0,0.9208633093525179,0.0,0.0,0.0
clean,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.0,0.8721804511278195,0.0,0.0,0.0
clean,spamassassin,minilm_lr.joblib,none,0.154727793696275,0.0,0.154727793696275,0.0,0.0,0.0
clean,spamassassin,minilm_lr.joblib,normalize,0.2864197530864197,0.0,0.2864197530864197,0.0,0.0,0.0
clean,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.0,0.3163097199341021,0.0,0.0,0.0
clean,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.0,0.3596638655462185,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0931780366056572,0.0,0.0931780366056572,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.1349072512647554,0.0,0.1349072512647554,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707149,0.0,0.11647254575707149,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.1359867330016583,0.0,0.1359867330016583,0.0,0.0,0.0
clean,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.0,0.4618181818181818,0.0,0.0,0.0
clean,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.0,0.3062645011600928,0.0,0.0,0.0
clean,spamassassin,tfidf_llm_lr.joblib,none,0.1303116147308781,0.0,0.1303116147308781,0.0,0.0,0.0
clean,spamassassin,tfidf_llm_lr.joblib,normalize,0.1371428571428571,0.0,0.1371428571428571,0.0,0.0,0.0
clean,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.0,0.1348314606741573,0.0,0.0,0.0
clean,spamassassin,tfidf_word_lr.joblib,normalize,0.1464788732394366,0.0,0.1464788732394366,0.0,0.0,0.0
obfuscate,sms_uci,minilm_lr.joblib,none,0.9517241379310344,0.0,0.8808282960612361,0.014007317575211113,-0.07089584186979823,0.014007317575211122
obfuscate,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.0,0.7796047372498862,0.03629423020756416,-0.13343874101098324,0.03629423020756421
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.0,0.1337992998993334,0.01800308492830306,-0.00081608471605114,0.018003084928303013
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.1102756892230576,0.0,0.1364566361759699,0.013919325144052051,0.026180946952912277,0.01391932514405208
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277943,0.0,0.22650546924470852,0.018266269052790697,0.00294051456192908,0.018266269052790635
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.0,0.21245309280671526,0.022997755351150492,-0.0110763189579906,0.022997755351150444
obfuscate,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.2840236686390532,0.0,0.24790439665907854,0.021196494069894153,-0.03611927197997466,0.02119649406989416
