attack,dataset,model,defense,f1_clean,f1_attacked,delta_f1
clean,spamassassin_dedup,sms_dedup_minilm_lr.joblib,normalize,0.273224043715847,0.273224043715847,0.0
obfuscate,spamassassin_dedup,sms_dedup_minilm_lr.joblib,normalize,0.273224043715847,0.1125,-0.16072404371584703
paraphrase_like,spamassassin_dedup,sms_dedup_minilm_lr.joblib,normalize,0.273224043715847,0.26373626373626374,-0.009487779979583277
prompt_injection,spamassassin_dedup,sms_dedup_minilm_lr.joblib,normalize,0.273224043715847,0.29015544041450775,0.016931396698660728
clean,spamassassin_dedup,sms_dedup_minilm_lr.joblib,none,0.11904761904761904,0.11904761904761904,0.0
obfuscate,spamassassin_dedup,sms_dedup_minilm_lr.joblib,none,0.11904761904761904,0.05194805194805195,-0.06709956709956709
paraphrase_like,spamassassin_dedup,sms_dedup_minilm_lr.joblib,none,0.11904761904761904,0.10975609756097561,-0.009291521486643431
prompt_injection,spamassassin_dedup,sms_dedup_minilm_lr.joblib,none,0.11904761904761904,0.17751479289940827,0.058467173851789234
clean,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,normalize,0.26804123711340205,0.26804123711340205,0.0
obfuscate,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,normalize,0.26804123711340205,0.22099447513812154,-0.047046761975280516
paraphrase_like,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,normalize,0.26804123711340205,0.23157894736842105,-0.036462289744981
prompt_injection,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,normalize,0.26804123711340205,0.3113207547169811,0.043279517603579065
clean,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,none,0.4496124031007752,0.4496124031007752,0.0
obfuscate,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,none,0.4496124031007752,0.41935483870967744,-0.03025756439109778
paraphrase_like,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,none,0.4496124031007752,0.4470588235294118,-0.002553579571363429
prompt_injection,spamassassin_dedup,sms_dedup_tfidf_char_svm.joblib,none,0.4496124031007752,0.4788732394366197,0.029260836335844476
clean,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,normalize,0.0875,0.0875,0.0
obfuscate,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,normalize,0.0875,0.06451612903225806,-0.02298387096774193
paraphrase_like,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,normalize,0.0875,0.06329113924050633,-0.02420886075949366
prompt_injection,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,normalize,0.0875,0.0875,0.0
clean,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,none,0.08917197452229299,0.08917197452229299,0.0
obfuscate,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,none,0.08917197452229299,0.06451612903225806,-0.024655845490034925
paraphrase_like,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,none,0.08917197452229299,0.06451612903225806,-0.024655845490034925
prompt_injection,spamassassin_dedup,sms_dedup_tfidf_word_lr.joblib,none,0.08917197452229299,0.07692307692307693,-0.01224889759921606
clean,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,normalize,0.3900414937759336,0.3900414937759336,0.0
obfuscate,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,normalize,0.3900414937759336,0.4302788844621514,0.04023739068621779
paraphrase_like,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,normalize,0.3900414937759336,0.3900414937759336,0.0
prompt_injection,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,normalize,0.3900414937759336,0.43846153846153846,0.048420044685604846
clean,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,none,0.4153846153846154,0.4153846153846154,0.0
obfuscate,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,none,0.4153846153846154,0.47058823529411764,0.05520361990950223
paraphrase_like,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,none,0.4153846153846154,0.4092664092664093,-0.0061182061182061265
prompt_injection,spamassassin_dedup,spamassassin_dedup_minilm_lr.joblib,none,0.4153846153846154,0.49146757679180886,0.07608296140719345
clean,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,normalize,0.4981132075471698,0.4981132075471698,0.0
obfuscate,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,normalize,0.4981132075471698,0.49230769230769234,-0.005805515239477477
paraphrase_like,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,normalize,0.4981132075471698,0.4981132075471698,0.0
prompt_injection,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,normalize,0.4981132075471698,0.5362318840579711,0.03811867651080125
clean,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,none,0.4548736462093863,0.4548736462093863,0.0
obfuscate,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,none,0.4548736462093863,0.45185185185185184,-0.0030217943575344686
paraphrase_like,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,none,0.4548736462093863,0.4548736462093863,0.0
prompt_injection,spamassassin_dedup,spamassassin_dedup_tfidf_char_svm.joblib,none,0.4548736462093863,0.4808362369337979,0.025962590724411594
clean,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,normalize,0.47509578544061304,0.47509578544061304,0.0
obfuscate,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,normalize,0.47509578544061304,0.38596491228070173,-0.0891308731599113
paraphrase_like,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,normalize,0.47509578544061304,0.47509578544061304,0.0
prompt_injection,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,normalize,0.47509578544061304,0.46875,-0.006345785440613039
clean,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,none,0.47232472324723246,0.47232472324723246,0.0
obfuscate,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,none,0.47232472324723246,0.3983050847457627,-0.07401963850146975
paraphrase_like,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,none,0.47232472324723246,0.47232472324723246,0.0
prompt_injection,spamassassin_dedup,spamassassin_dedup_tfidf_word_lr.joblib,none,0.47232472324723246,0.45627376425855515,-0.01605095898867731
