attack,dataset,model,defense,f1_clean,f1_attacked,delta_f1
clean,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,normalize,0.8174037089871612,0.8174037089871612,0.0
obfuscate,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,normalize,0.8174037089871612,0.663981588032221,-0.15342212095494023
paraphrase_like,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,normalize,0.8174037089871612,0.8133427963094393,-0.004060912677721906
prompt_injection,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,normalize,0.8174037089871612,0.8352941176470589,0.01789040865989766
clean,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,none,0.8694992412746586,0.8694992412746586,0.0
obfuscate,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,none,0.8694992412746586,0.7364390555201021,-0.13306018575455647
paraphrase_like,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,none,0.8694992412746586,0.8655589123867069,-0.003940328887951705
prompt_injection,telegram_dedup,telegram_dedup_aug_tfidf_word_lr.joblib,none,0.8694992412746586,0.8895800933125972,0.020080852037938635
clean,telegram_dedup,telegram_dedup_minilm_lr.joblib,normalize,0.8522212148685403,0.8522212148685403,0.0
obfuscate,telegram_dedup,telegram_dedup_minilm_lr.joblib,normalize,0.8522212148685403,0.7635619242579325,-0.08865929061060784
paraphrase_like,telegram_dedup,telegram_dedup_minilm_lr.joblib,normalize,0.8522212148685403,0.8475499092558983,-0.004671305612641952
prompt_injection,telegram_dedup,telegram_dedup_minilm_lr.joblib,normalize,0.8522212148685403,0.7976190476190477,-0.05460216724949263
clean,telegram_dedup,telegram_dedup_minilm_lr.joblib,none,0.8902439024390244,0.8902439024390244,0.0
obfuscate,telegram_dedup,telegram_dedup_minilm_lr.joblib,none,0.8902439024390244,0.8384118190212373,-0.05183208341778711
paraphrase_like,telegram_dedup,telegram_dedup_minilm_lr.joblib,none,0.8902439024390244,0.8865619546247818,-0.003681947814242581
prompt_injection,telegram_dedup,telegram_dedup_minilm_lr.joblib,none,0.8902439024390244,0.8338136407300673,-0.05643026170895715
clean,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,normalize,0.9115523465703971,0.9115523465703971,0.0
obfuscate,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,normalize,0.9115523465703971,0.8826291079812206,-0.028923238589176448
paraphrase_like,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,normalize,0.9115523465703971,0.9104072398190045,-0.0011451067513925661
prompt_injection,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,normalize,0.9115523465703971,0.90625,-0.005302346570397076
clean,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,none,0.950477845351868,0.950477845351868,0.0
obfuscate,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,none,0.950477845351868,0.9425287356321839,-0.0079491097196841
paraphrase_like,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,none,0.950477845351868,0.9494773519163763,-0.0010004934354916895
prompt_injection,telegram_dedup,telegram_dedup_tfidf_char_svm.joblib,none,0.950477845351868,0.9545454545454546,0.004067609193586619
clean,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,normalize,0.8823529411764706,0.8823529411764706,0.0
obfuscate,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,normalize,0.8823529411764706,0.8067393458870169,-0.07561359528945366
paraphrase_like,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,normalize,0.8823529411764706,0.8730305838739574,-0.009322357302513185
prompt_injection,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,normalize,0.8823529411764706,0.861244019138756,-0.021108922037714528
clean,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,none,0.8959276018099548,0.8959276018099548,0.0
obfuscate,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,none,0.8959276018099548,0.8336557059961315,-0.06227189581382331
paraphrase_like,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,none,0.8959276018099548,0.8898999090081893,-0.006027692801765516
prompt_injection,telegram_dedup,telegram_dedup_tfidf_word_lr.joblib,none,0.8959276018099548,0.8834586466165414,-0.0124689551934134
