attack,dataset,model,f1_clean,f1_attacked,delta_f1
clean,spamassassin,minilm_lr.joblib,0.28641975308641976,0.28641975308641976,0.0
obfuscate+normalize,spamassassin,minilm_lr.joblib,0.28641975308641976,0.12979351032448377,-0.15662624276193599
paraphrase_like+normalize,spamassassin,minilm_lr.joblib,0.28641975308641976,0.28287841191067,-0.0035413411757497792
prompt_injection+normalize,spamassassin,minilm_lr.joblib,0.28641975308641976,0.2890995260663507,0.002679772979930939
clean,spamassassin,minilm_lr.joblib,0.15472779369627507,0.15472779369627507,0.0
obfuscate,spamassassin,minilm_lr.joblib,0.15472779369627507,0.09785932721712538,-0.056868466479149685
paraphrase_like,spamassassin,minilm_lr.joblib,0.15472779369627507,0.15472779369627507,0.0
prompt_injection,spamassassin,minilm_lr.joblib,0.15472779369627507,0.17270194986072424,0.017974156164449168
clean,spamassassin,spamassassin_minilm_lr.joblib,0.3596638655462185,0.3596638655462185,0.0
obfuscate+normalize,spamassassin,spamassassin_minilm_lr.joblib,0.3596638655462185,0.3768595041322314,0.017195638586012918
paraphrase_like+normalize,spamassassin,spamassassin_minilm_lr.joblib,0.3596638655462185,0.3581081081081081,-0.0015557574381103723
prompt_injection+normalize,spamassassin,spamassassin_minilm_lr.joblib,0.3596638655462185,0.3683360258481422,0.008672160301923693
clean,spamassassin,spamassassin_minilm_lr.joblib,0.3163097199341021,0.3163097199341021,0.0
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,0.3163097199341021,0.3443478260869565,0.028038106152854403
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,0.3163097199341021,0.3140495867768595,-0.0022601331572426053
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,0.3163097199341021,0.3218390804597701,0.005529360525667992
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,0.13490725126475547,0.13490725126475547,0.0
obfuscate+normalize,spamassassin,spamassassin_tfidf_char_svm.joblib,0.13490725126475547,0.1360544217687075,0.001147170503952022
paraphrase_like+normalize,spamassassin,spamassassin_tfidf_char_svm.joblib,0.13490725126475547,0.13490725126475547,0.0
prompt_injection+normalize,spamassassin,spamassassin_tfidf_char_svm.joblib,0.13490725126475547,0.1054481546572935,-0.029459096607461974
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,0.09317803660565724,0.09317803660565724,0.0
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,0.09317803660565724,0.08067226890756303,-0.012505767698094208
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,0.09317803660565724,0.09333333333333334,0.00015529672767609914
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,0.09317803660565724,0.077834179357022,-0.01534385724863524
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,0.13598673300165837,0.13598673300165837,0.0
obfuscate+normalize,spamassassin,spamassassin_tfidf_word_lr.joblib,0.13598673300165837,0.1281618887015177,-0.00782484430014066
paraphrase_like+normalize,spamassassin,spamassassin_tfidf_word_lr.joblib,0.13598673300165837,0.13333333333333333,-0.002653399668325035
prompt_injection+normalize,spamassassin,spamassassin_tfidf_word_lr.joblib,0.13598673300165837,0.12353923205342238,-0.01244750094823599
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,0.11647254575707154,0.11647254575707154,0.0
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,0.11647254575707154,0.09230769230769231,-0.02416485344937923
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,0.11647254575707154,0.11352253756260434,-0.0029500081944671963
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,0.11647254575707154,0.10720268006700168,-0.009269865690069864
clean,spamassassin,tfidf_char_svm.joblib,0.3062645011600928,0.3062645011600928,0.0
obfuscate+normalize,spamassassin,tfidf_char_svm.joblib,0.3062645011600928,0.2210796915167095,-0.08518480964338329
paraphrase_like+normalize,spamassassin,tfidf_char_svm.joblib,0.3062645011600928,0.3004694835680751,-0.0057950175920176705
prompt_injection+normalize,spamassassin,tfidf_char_svm.joblib,0.3062645011600928,0.38445807770961143,0.07819357654951864
clean,spamassassin,tfidf_char_svm.joblib,0.4618181818181818,0.4618181818181818,0.0
obfuscate,spamassassin,tfidf_char_svm.joblib,0.4618181818181818,0.42722117202268434,-0.03459700979549746
paraphrase_like,spamassassin,tfidf_char_svm.joblib,0.4618181818181818,0.4570383912248629,-0.0047797905933189
prompt_injection,spamassassin,tfidf_char_svm.joblib,0.4618181818181818,0.5254515599343186,0.06363337811613679
clean,spamassassin,tfidf_llm_lr.joblib,0.13714285714285715,0.13714285714285715,0.0
obfuscate+normalize,spamassassin,tfidf_llm_lr.joblib,0.13714285714285715,0.12209302325581395,-0.015049833887043201
paraphrase_like+normalize,spamassassin,tfidf_llm_lr.joblib,0.13714285714285715,0.12138728323699421,-0.015755573905862935
prompt_injection+normalize,spamassassin,tfidf_llm_lr.joblib,0.13714285714285715,0.12209302325581395,-0.015049833887043201
clean,spamassassin,tfidf_llm_lr.joblib,0.13031161473087818,0.13031161473087818,0.0
obfuscate,spamassassin,tfidf_llm_lr.joblib,0.13031161473087818,0.12173913043478261,-0.00857248429609557
paraphrase_like,spamassassin,tfidf_llm_lr.joblib,0.13031161473087818,0.12,-0.010311614730878188
prompt_injection,spamassassin,tfidf_llm_lr.joblib,0.13031161473087818,0.12034383954154727,-0.00996777518933091
clean,spamassassin,tfidf_word_lr.joblib,0.14647887323943662,0.14647887323943662,0.0
obfuscate+normalize,spamassassin,tfidf_word_lr.joblib,0.14647887323943662,0.1329479768786127,-0.013530896360823913
paraphrase_like+normalize,spamassassin,tfidf_word_lr.joblib,0.14647887323943662,0.13105413105413105,-0.015424742185305568
